1	2
2	87
3	89
4	-9
5	-28
6	-219
7	-518
8	-794
9	-1042
10	-1100
11	-745
12	-432
13	-75
14	52
15	60
16	44
17	74
18	21
19	41
20	98
21	0
22	92
23	43
24	-50
25	-155
26	-372
27	-635
28	-841
29	-719
30	-547
31	-271
32	-106
33	8
34	88
35	52
36	89
37	28
38	54
39	80
40	5
41	1
42	15
43	-34
44	-162
45	-248
46	-448
47	-629
48	-494
49	-357
50	-160
51	-30
52	43
53	52
54	49
55	20
56	44
57	43
58	12
59	20
60	89
61	-8
62	-2
63	-90
64	500
65	-319
66	-426
67	-300
68	-194
69	-101
70	27
71	-27
72	8
73	50
74	8
75	17
76	96
77	30
78	47
79	85
80	41
81	-49
82	-9
83	-180
84	-240
85	-199
86	-215
87	-106
88	10
89	-6
90	25
91	-9
92	72
93	33
94	3
95	57
96	100
97	95
98	4
99	35
100	-42
101	-30
102	-10
103	-44
104	-44
105	-15
106	-61
107	-22
108	32
109	51
110	-11
111	5
112	30
113	6
114	10
115	90
116	45
117	25
118	-58
119	21
120	71
121	30
122	7
123	25
124	70
125	81
126	2
127	-9
128	-46
129	76
130	62
131	42
132	94
133	2
134	0
135	18
136	-24
137	-4
138	-28
139	21
140	69
141	66
142	74
143	148
144	63
145	-13
146	-56
147	-16
148	65
149	94
150	63
151	17
152	75
153	41
154	19
155	-53
156	-145
157	20
158	79
159	229
160	241
161	266
162	213
163	116
164	-68
165	-217
166	-73
167	6
168	1
169	8
170	57
171	96
172	56
173	-37
174	-162
175	-133
176	34
177	256
178	263
179	314
180	327
181	236
182	50
183	-205
184	-284
185	-61
186	23
187	4
188	94
189	96
190	95
191	31
192	-147
193	-423
194	-192
195	167
196	306
197	455
198	520
199	531
200	326

